"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Neurochemical Pathways","Study Design and Model","Key Behavioral Outcomes"
"The gut microbiome and sociability","https://scispace.com/paper/the-gut-microbiome-and-sociability-4t7une4w1b","2024","Journal Article","Frontiers in Neuroscience","Katherine T. Weber
Bernard J. Varian
Susan E. Erdman","10.3389/fnins.2024.1372274","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses vagus nerve signaling and probiotic‑induced oxytocin release to explain gut‑brain communication; Links these mechanisms directly to changes in social behavior and sociability.","The human gut microbiome plays an important role in the maturation of the neural, immune, and endocrine systems. Research data from animal models shows that gut microbiota communicate with the host's brain in an elaborate network of signaling pathways, including the vagus nerve. Part of the microbiome's influence extends to the behavioral and social development of its host. As a social species, a human's ability to communicate with others is imperative to their survival and quality of life. Current research explores the gut microbiota's developmental influence as well as how these gut-brain pathways can be leveraged to alleviate the social symptoms associated with various neurodevelopmental and psychiatric diseases. One intriguing vein of research in animal models centers on probiotic treatment, which leads to downstream increased circulation of endogenous oxytocin, a neuropeptide hormone relevant to sociability. Further research may lead to therapeutic applications in humans, particularly in the early stages of their lives.","The paper indicates that gut microbiota communicate with the host's brain through an elaborate network of signaling pathways, including the vagus nerve. This influence extends to behavioral and social development. Research in animal models shows that probiotic treatment can lead to increased circulation of endogenous oxytocin, a neuropeptide hormone relevant to sociability. This suggests a mechanism where gut microbiota can impact neurochemical signaling related to social behavior.","The research data discussed in the paper primarily draws from animal models. These models are used to explore the gut microbiota's influence on behavioral and social development, particularly how gut-brain pathways can alleviate social symptoms in neurodevelopmental and psychiatric diseases. A specific intriguing vein of research in these animal models centers on probiotic treatment, which has been shown to increase the circulation of endogenous oxytocin.","The research explores the gut microbiota's developmental influence and how gut-brain pathways can alleviate social symptoms associated with neurodevelopmental and psychiatric diseases. It also investigates probiotic treatment in animal models, leading to increased circulation of endogenous oxytocin, a neuropeptide hormone relevant to sociability. The study focuses on sociability and social development as key behavioral outcomes."
"… analysis in adolescent depression: roles of the gut microbiota in the regulation of tryptophan-derived neurotransmitters and behaviors in human and mice","https://scispace.com/paper/rrvOqPm9hXMJ","","","","M Zhou
Y Fan
L Xu
Z Yu
S Wang
H Xu
J Zhang","","https://link.springer.com/content/pdf/10.1186/s40168-023-01589-9.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses gut microbiota–tryptophan metabolism to modulate neurotransmitters; links these changes to depression‑related behaviors in mice and humans.","","The paper discusses the roles of the gut microbiota in the regulation of tryptophan-derived neurotransmitters. It explores the influence of the gut microbiota on these metabolic pathways and their connection to behaviors related to depression in both humans and mice. The analysis also highlights the beneficial effects along the gut-brain axis, linking microbiota-gut-brain axis neurochemical signaling pathways to behavioral outcomes.","The study involved analysis in both humans and mice. It investigated the roles of the gut microbiota in regulating tryptophan-derived neurotransmitters and behaviors, particularly in adolescent depression. The research examined the beneficial effects along the gut-brain axis (GBA) and observed metabolic pathway-derived neurotransmitters and behavioral changes in mice.","The study examined behavioral outcomes in mice, linking changes to depression-related behaviors. The relevance summary indicates that the paper uses gut microbiota–tryptophan metabolism to modulate neurotransmitters and links these changes to depression-related behaviors in mice and humans. The snippet mentions that ""all mice were examined during the second round of behavioral…"" indicating behavioral assessments were conducted."
"Research advances in gut microbes and autism spectrum disorders","https://scispace.com/paper/research-advances-in-gut-microbes-and-autism-spectrum-f1g2gqfuapos","2024","Journal Article","","Renardo Lico","10.32948/ajsep.2024.11.25","https://scispace.compdf/research-advances-in-gut-microbes-and-autism-spectrum-f1g2gqfuapos.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses gut microbiota‑glutamate metabolism and transplantation studies to detail neurochemical signaling; reports autism-like social deficits and repetitive behaviors as axis‑driven outcomes.","This paper concludes that recent research on the interrelationship between gut microbiota and autism spectrum disorder (ASD) has gained significant attention. The study found that the composition of the gut microbiota in ASD patients is often markedly different from that of the general population, particularly in the species and abundance of beneficial bacteria, such as Bifidobacterium and Lactobacillus, which are frequently imbalanced. The imbalance in intestinal microorganisms not only affects gut health but also disrupts the neurological functions mediated by the gut-brain axis, exacerbating the behavioral and cognitive symptoms associated with ASD. In recent years, microbial interventions, including probiotics, prebiotics, and fecal microbiota transplantation (FMT), have shown some promise. The use of probiotics and prebiotics can increase the proportion of beneficial flora in the gut of patients with ASD, helping to produce anti-inflammatory short-chain fatty acids, thereby improving neurological symptoms. Additionally, FMT, which involves transplanting gut microbes from healthy individuals into ASD patients, has demonstrated significant improvements in both gut and behavioral symptoms in several studies. However, due to the high individual variability among ASD patients, a single microbial intervention is not consistently effective across all individuals. Some patients respond well to probiotics or FMT, whereas others show limited symptom improvement. This variability may be attributed to each patient's unique microbiota composition, immune status, and metabolic profile. Therefore, further research is needed to identify biomarkers that can predict the effectiveness of microbial interventions, thereby enabling more precise and individualised therapies. This review aims to provide guidance for future research and to offer a theoretical foundation and data support for exploring microbial modulation as a potential treatment for ASD. ","Gut microbiota influence neurochemical pathways such as gamma-aminobutyric acid (GABA) and 5-hydroxytryptamine (serotonin) production, crucial for mood and behavior regulation. Alterations in gut microbes can affect these neurotransmitter levels, impacting cognitive and behavioral functions. The gut-brain axis, involving the vagus nerve, also mediates communication, and gut bacteria produce short-chain fatty acids (SCFAs) that support brain function and reduce inflammation, affecting neurodevelopment.","The paper discusses various study designs and experimental models used in research on gut microbes and autism spectrum disorders (ASD). These include population-based studies analyzing fecal samples from human ASD patients compared to controls, and animal models such as sterile mice and human microbiota transplantation models. Specific interventions like fecal microbiota transplantation (FMT), probiotics (e.g., *Lactobacillus reuteri*, *Mimicronium fragilis BF839*, *Bifidobacterium longum NCC3001*), prebiotics, and dietary modifications (e.g., gluten-free, casein-free, high-fiber diets) are also covered. Some studies involved children with ASD, while animal models used mice to investigate behavioral and physiological changes.","This paper indicates that gut microbiota interventions influenced several behavioral outcomes in ASD. Studies reported improved social behaviors, reduced anxiety-like behaviors, and decreased repetitive stereotyped behaviors. Cognitive function was also noted to be affected, with some interventions restoring neural activity and improving neurological symptoms. Conversely, certain gut microbiota compositions in ASD patients were linked to impaired social behavior and cognitive dysfunction, and increased behavioral abnormalities."
"Oxidized/unmodified-polyethylene microplastics neurotoxicity in mice: Perspective from microbiota-gut-brain axis.","https://scispace.com/paper/38484610","2024","Journal Article","Environment international","Wang
Yang
Shi
Wei
Gao
Liu","10.1016/j.envint.2024.108523","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses cholinergic synaptic signaling disruption and probiotic/GOS intervention to link gut microbiota changes with altered neurotransmitter levels and cognitive deficits in mice.","Microplastics (MPs) are inevitably oxidized in the environment, and their potential toxicity to organisms has attracted wide attention. However, the neurotoxicity and mechanism of oxidized polyethylene (Ox-PE) MPs to organisms remain unclear. Herein, we prepared oxidized low-density polyethylene (Ox-LDPE) and established a model of MPs exposure by continuously orally gavage of C57BL/6 J mice with LDPE-MPs/Ox-LDPE-MPs for 28 days with or without oral administration of Lactobacillus plantarum DP189 and galactooligosaccharides (DP189&GOS). The experimental results indicated that LDPE-MPs or Ox-LDPE-MPs caused several adverse effects in mice, mainly manifested by behavioral changes, disruption of the intestinal and blood-brain barrier (BBB), and simultaneous oxidative stress, inflammatory reactions, and pathological damage in the brain and intestines. Brain transcriptomic analysis revealed that the cholinergic synaptic signaling pathways, which affect cognitive function, were significantly disrupted after exposure to LDPE-MPs or Ox-LDPE-MPs. Real-time quantitative polymerase chain reaction and Western Blotting results further demonstrated that the critical genes (Slc5a7, Chat and Slc18a3) and proteins (Chat and Slc18a3) in the cholinergic synaptic signaling pathway were significantly down-regulated after exposure to LDPE-MPs or Ox-LDPE-MPs. These alterations lead to reduced acetylcholine concentration, which causes cognitive dysfunction in mice. Importantly, the DP189&GOS interventions effectively mitigated the MPs-induced cognitive dysfunction and intestinal microbiota alteration, improved intestinal and BBB integrity, attenuated the oxidative stress and inflammatory response, and also saw a rebound in the release of acetylcholine. These results indicated that LDPE-MPs and Ox-LDPE-MPs exert neurotoxic effects on mice by inducing oxidative stress, inflammatory responses, and dysregulation of cholinergic signaling pathways in the mouse brain. That probiotic supplementation is effective in attenuating MPs-induced neurotoxicity in mice. Overall, this study reveals the potential mechanisms of neurotoxicity of LDPE-MPs and Ox-LDPE-MPs on mice and their improvement measures, necessary to assess the potential risks of plastic contaminants to human health.","The paper discusses the cholinergic synaptic signaling pathways, which were significantly disrupted after exposure to microplastics, leading to reduced acetylcholine concentration and cognitive dysfunction in mice. Probiotic interventions, specifically Lactobacillus plantarum DP189 and galactooligosaccharides, effectively mitigated microplastic-induced cognitive dysfunction and intestinal microbiota alteration. This intervention also led to a rebound in acetylcholine release, indicating that the gut microbiota influences cholinergic signaling and cognitive function.","The study used C57BL/6 J mice as an animal model, continuously orally gavaged with LDPE-MPs/Ox-LDPE-MPs for 28 days. It included a probiotic intervention with *Lactobacillus plantarum* DP189 and galactooligosaccharides (DP189&GOS) to assess mitigation of MPs-induced effects. This design investigated neurotoxicity and the microbiota-gut-brain axis.","The study observed behavioral changes in mice exposed to LDPE-MPs or Ox-LDPE-MPs. These alterations led to cognitive dysfunction. Interventions with Lactobacillus plantarum DP189 and galactooligosaccharides (DP189&GOS) effectively mitigated the MPs-induced cognitive dysfunction. This suggests that microplastic exposure impaired cognitive function, which was subsequently improved by probiotic and galactooligosaccharide supplementation."
"Gut microbiota-tryptophan-serotonin axis drives anxiety-like behavior via NLRP3-mediated neuronal pyroptosis in the medial prefrontal cortex","https://scispace.com/paper/kNYRPvsqVBkJ","","","","G Zhou
X Wang
T Qin
L Guo
J Lin
Z Zhang
P Gao","","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses gut microbiota‑derived tryptophan metabolism to serotonin to drive anxiety via NLRP3 pyroptosis in medial prefrontal cortex, directly linking neurochemical signaling to anxiety-like behavior.","","The paper discusses the gut microbiota-tryptophan-serotonin axis. It highlights how gut microbiota-derived tryptophan metabolism leads to serotonin production, which in turn drives anxiety-like behavior. This process involves NLRP3-mediated neuronal pyroptosis in the medial prefrontal cortex, directly linking neurochemical signaling to behavioral outcomes.","The study investigated the gut microbiota-tryptophan-serotonin axis's role in anxiety-like behavior, specifically via NLRP3-mediated neuronal pyroptosis in the medial prefrontal cortex. The research was conducted using an animal model, specifically mice, to explore the interplay of gut microbiota and tryptophan metabolism in the gut-brain axis. No specific sample size was mentioned in the provided metadata.","The study observed anxiety-like behavior. The gut microbiota-tryptophan-serotonin axis was found to drive this anxiety-like behavior. This process is mediated by NLRP3-mediated neuronal pyroptosis in the medial prefrontal cortex, directly linking neurochemical signaling to the observed anxiety-like behavior."
"Brain Neurotransmitter Modulation by Gut Microbiota in Anxiety and Depression.","https://scispace.com/paper/33777957","2021","Journal Article","Frontiers in cell and developmental biology","Huang
Wu","10.3389/fcell.2021.649103","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7991717/pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Reviews serotonergic, dopaminergic, noradrenergic pathways linking gut microbes to brain; details anxiety‑ and depression‑like behaviors in germ‑free, antibiotic‑treated and probiotic‑treated rodents.","Anxiety and depression are highly prevalent mental illnesses worldwide and have long been thought to be closely associated to neurotransmitter modulation. There is growing evidence indicating that changes in the composition of the gut microbiota are related to mental health including anxiety and depression. In this review, we focus on combining the intestinal microbiota with serotonergic, dopaminergic, and noradrenergic neurotransmission in brain, with special emphasis on the anxiety- and depression-like behaviors in stress-related rodent models. Therefore, we reviewed studies conducted on germ-free rodents, or in animals subjected to microbiota absence using antibiotics, as well as via the usage of probiotics. All the results strongly support that the brain neurotransmitter modulation by gut microbiota is indispensable to the physiopathology of anxiety and depression. However, a lot of work is needed to determine how gut microbiota mediated neurotransmission in human brain has any physiological significance and, if any, how it can be used in therapy. Overall, the gut microbiota provides a novel way to alter neurotransmitter modulation in the brain and treat gut-brain axis diseases, such as anxiety and depression.","This paper reviews the modulation of brain neurotransmitters by gut microbiota, specifically focusing on serotonergic, dopaminergic, and noradrenergic neurotransmission. It emphasizes how gut microbiota influence these pathways in the context of anxiety- and depression-like behaviors in stress-related rodent models, including germ-free animals, those treated with antibiotics, and those receiving probiotics. The findings strongly support that gut microbiota-mediated neurotransmitter modulation is crucial for the physiopathology of anxiety and depression.","This review focuses on stress-related rodent models to investigate brain neurotransmitter modulation by gut microbiota in anxiety and depression. It specifically examines studies conducted on germ-free rodents, animals subjected to microbiota absence using antibiotics, and those receiving probiotic interventions. The findings strongly support the indispensable role of gut microbiota in neurotransmitter modulation for the physiopathology of anxiety and depression.","The review focuses on anxiety- and depression-like behaviors in stress-related rodent models. Studies on germ-free rodents, antibiotic-treated animals, and probiotic usage strongly support the gut microbiota's indispensable role in the physiopathology of anxiety and depression, implying modulation of these behaviors. The paper highlights how gut microbiota provides a novel way to alter neurotransmitter modulation in the brain and treat gut-brain axis diseases, such as anxiety and depression."
"The correlation between gut microbiota and both neurotransmitters and mental disorders: A narrative review","https://scispace.com/paper/the-correlation-between-gut-microbiota-and-both-52usl6de2d","2023","Journal Article","Medicine","Amjad Mhanna
N. De Martini
Ghefar Hmaydoosh
George Hamwi
Mulham Jarjanazi
Ghaith Zaifah
Reem Kazzazo
Aya Haji Mohamad
Zuheir Alshehabi","10.1097/md.0000000000037114","https://journals.lww.com/md-journal/_layouts/15/oaks.journals/downloadpdf.aspx?an=00005792-202402020-00019","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses comprehensive review of gut‑brain axis neurotransmitter pathways (serotonin, dopamine, GABA, glutamate) and links dysbiosis to schizophrenia, depression, anxiety, and autism behavioral phenotypes.","The gastrointestinal tract is embedded with microorganisms of numerous genera, referred to as gut microbiota. Gut microbiota has multiple effects on many body organs, including the brain. There is a bidirectional connection between the gut and brain called the gut-brain-axis, and these connections are formed through immunological, neuronal, and neuroendocrine pathways. In addition, gut microbiota modulates the synthesis and functioning of neurotransmitters. Therefore, the disruption of the gut microbiota in the composition or function, which is known as dysbiosis, is associated with the pathogenesis of many mental disorders, such as schizophrenia, depression, and other psychiatric disorders. This review aims to summarize the modulation role of the gut microbiota in 4 prominent neurotransmitters (tryptophan and serotonergic system, dopamine, gamma-aminobutyric acid, and glutamate), as well as its association with 4 psychiatric disorders (schizophrenia, depression, anxiety disorders, and autism spectrum disorder). More future research is required to develop efficient gut-microbiota-based therapies for these illnesses.","The gut microbiota modulates the synthesis and functioning of neurotransmitters. Specifically, this review summarizes the modulation role of the gut microbiota in four prominent neurotransmitters: tryptophan and the serotonergic system, dopamine, gamma-aminobutyric acid (GABA), and glutamate. The disruption of gut microbiota, known as dysbiosis, is associated with the pathogenesis of various mental disorders, suggesting a significant influence on these neurochemical pathways.","This paper is a narrative review summarizing the modulation role of the gut microbiota in four prominent neurotransmitters (tryptophan and serotonergic system, dopamine, gamma-aminobutyric acid, and glutamate) and its association with four psychiatric disorders (schizophrenia, depression, anxiety disorders, and autism spectrum disorder). It is not an experimental study and therefore does not include an experimental model or sample size.","This review summarizes the association of gut microbiota with psychiatric disorders, specifically schizophrenia, depression, anxiety disorders, and autism spectrum disorder. It discusses how disruptions in gut microbiota composition or function (dysbiosis) are linked to the pathogenesis of these mental disorders, implying an observed correlation rather than direct measurement of behavioral outcomes within the study itself. The paper focuses on the modulation role of gut microbiota on neurotransmitters and its association with these conditions."
"Ingestion of Lactobacillus strain regulates emotional behavior and central GABA receptor expression in a mouse via the vagus nerve.","https://scispace.com/paper/21876150","2011","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Bravo
Forsythe
Chew
Escaravage
Savignac
Dinan
Bienenstock
Cryan","10.1073/pnas.1102999108","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179073/pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows that Lactobacillus rhamnosus modulates central GABA receptor expression via the vagus nerve and reduces anxiety‑ and depression‑related behaviors in mice.","There is increasing, but largely indirect, evidence pointing to an effect of commensal gut microbiota on the central nervous system (CNS). However, it is unknown whether lactic acid bacteria such as Lactobacillus rhamnosus could have a direct effect on neurotransmitter receptors in the CNS in normal, healthy animals. GABA is the main CNS inhibitory neurotransmitter and is significantly involved in regulating many physiological and psychological processes. Alterations in central GABA receptor expression are implicated in the pathogenesis of anxiety and depression, which are highly comorbid with functional bowel disorders. In this work, we show that chronic treatment with L. rhamnosus (JB-1) induced region-dependent alterations in GABA(B1b) mRNA in the brain with increases in cortical regions (cingulate and prelimbic) and concomitant reductions in expression in the hippocampus, amygdala, and locus coeruleus, in comparison with control-fed mice. In addition, L. rhamnosus (JB-1) reduced GABA(Aα2) mRNA expression in the prefrontal cortex and amygdala, but increased GABA(Aα2) in the hippocampus. Importantly, L. rhamnosus (JB-1) reduced stress-induced corticosterone and anxiety- and depression-related behavior. Moreover, the neurochemical and behavioral effects were not found in vagotomized mice, identifying the vagus as a major modulatory constitutive communication pathway between the bacteria exposed to the gut and the brain. Together, these findings highlight the important role of bacteria in the bidirectional communication of the gut-brain axis and suggest that certain organisms may prove to be useful therapeutic adjuncts in stress-related disorders such as anxiety and depression.","The paper shows that chronic treatment with *Lactobacillus rhamnosus* (JB-1) altered GABA(B1b) and GABA(Aα2) mRNA expression in various brain regions. These neurochemical changes, along with reduced stress-induced corticosterone and anxiety/depression-related behavior, were mediated via the vagus nerve. This indicates the vagus nerve serves as a major communication pathway between gut bacteria and the brain, influencing central GABA receptor expression and emotional behavior.","The study used an animal model, specifically mice, to investigate the effects of chronic treatment with *Lactobacillus rhamnosus* (JB-1). The intervention involved probiotic ingestion. The research also included vagotomized mice to identify the vagus nerve's role in the observed neurochemical and behavioral effects. The study examined alterations in GABA receptor expression and stress-induced behaviors.","Chronic treatment with *Lactobacillus rhamnosus* (JB-1) reduced stress-induced corticosterone, anxiety-related behavior, and depression-related behavior in mice. These neurochemical and behavioral effects were absent in vagotomized mice, indicating the vagus nerve's crucial role in this gut-brain communication. The study suggests certain bacteria may be useful therapeutic adjuncts for stress-related disorders."
"Effects of regulating gut microbiota on the serotonin metabolism in the chronic unpredictable mild stress rat model","https://scispace.com/paper/effects-of-regulating-gut-microbiota-on-the-serotonin-3quibxosir","2019","Journal Article","Neurogastroenterology and Motility","Huawei Li
Peng Wang
Luqiao Huang
Ping Li
Dianliang Zhang","10.1111/NMO.13677","https://onlinelibrary.wiley.com/doi/pdf/10.1111/nmo.13677","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses probiotic-induced gut microbiota shifts to modulate central and colonic serotonin, directly linking these neurochemical changes to reduced depressive-like behavior in rats.","Objective This study was to inspect the antidepressant-like effect of prebiotics and probiotics, and to explore the effect of modulating gut microbiota on the serotonin (5-HT) metabolism. Methods Fifty rats were separated into control and other four groups randomly. The four groups underwent the chronic unpredictable mild stress (CUMS) intervention with or without prebiotics and probiotics (Bifidobacterium longum, L. rhamnosus) treatment. After weighted, the animals underwent a series of behavioral tests comprising the sucrose preference test (SPT) and the forced swimming test (FST). Central and colonic serotonin levels and relative metabolism factors were measured and analyzed. Microbiota was examined by 16S rRNA gene pyrosequencing. Results CUMS intervention caused a decrease in body weight, an increase in FST, and a decrease in SPT. Prebiotics and probiotics all ameliorated the CUMS-induced loss of weight and depressive-like behaviors to a certain extent, especially L. rhamnosus. Compared with the group of CUMS intervention, the rats of probiotics and probiotics treatment had a tendency to reduce colonic 5-HT and increase 5-HT in frontal cortex and hippocampus. However, there was no significant difference in peripheral blood 5-HT among these groups. Furthermore, CUMS caused noteworthy gut microbiota variations at the phylum and other levels in rats. Remarkably, there were considerable relations of perturbed gut microbiota with the changed metabolism of 5-HT. Conclusion In conclusion, these findings implied that prebiotics and probiotics have antidepressive effects, and a considerable effect on the regulation of 5-HT metabolism, especially L. rhamnosus.","This study explored the effect of modulating gut microbiota on serotonin (5-HT) metabolism. Prebiotics and probiotics ameliorated CUMS-induced depressive-like behaviors and tended to reduce colonic 5-HT while increasing 5-HT in the frontal cortex and hippocampus. CUMS caused gut microbiota variations, and these perturbed microbiota had considerable relations with the changed metabolism of 5-HT, suggesting a gut microbiota-serotonin pathway.","This study used a rat model, specifically fifty rats, which were separated into control and four other groups. These groups underwent chronic unpredictable mild stress (CUMS) intervention, with or without treatment using prebiotics and probiotics (Bifidobacterium longum, L. rhamnosus). Behavioral tests, serotonin levels, and microbiota examination were conducted to assess the effects of the interventions.","The study measured depressive-like behaviors using the sucrose preference test (SPT) and the forced swimming test (FST). Chronic unpredictable mild stress (CUMS) intervention caused a decrease in body weight, an increase in FST, and a decrease in SPT. Prebiotics and probiotics ameliorated these CUMS-induced depressive-like behaviors and loss of weight."
"Gut-brain axis dysfunction mediates neurotoxicity of embryonic p-phenylenediamine exposure in zebrafish.","https://scispace.com/paper/40865224","2025","Journal Article","Journal of hazardous materials","Xu
Pan
Yi
Zheng
Zeng
Lin
Song
Sun
Chen","10.1016/j.jhazmat.2025.139650","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses gut microbiome profiling and brain transcriptomics to map neurotransmitter and inflammatory signaling across the gut‑brain axis; links these molecular changes to hyperactivity, aggression, and social deficits in zebrafish.","P-phenylenediamine antioxidants (PPDs) are widely used in the rubber industry and are increasingly recognized as environmental contaminants, raising concerns about their potential risks to wildlife and human health. Our present study investigated the neurotoxicity of embryonic exposure to a sublethal concentration (0.05 mg/L) of three PPDs (CPPD, IPPD and 77PD) in zebrafish. Our results showed that PPDs impaired the fish growth and induced distinct behavioral alterations. Specifically, CPPD exposure induced hyperactivity, aggression and social deficit. IPPD caused hyperactivity and loose shoaling behavior. And 77PD led to social deficits and reduced social cohesion. Examination of head tissues indicated elevated oxidative stress markers, altered antioxidant enzyme activities, increased neurotransmitter levels and abnormality of neural markers (Gfap/Olig2) using transgenic zebrafish. Histopathological analyses revealed marked intestinal damage including villus structural distortion and reduced mucus secretion. Integrated head-transcriptome and gut-microbiome analyses elucidated compound-specific molecular mechanisms. CPPD and IPPD significantly affected ocular lens development and visual perception pathways, whereas CPPD and 77PD notably disrupted olfactory sensory signaling and G protein-coupled receptor pathways. 16S rDNA sequence indicated PPDs-induced intestinal flora disorder by changing the composition and structure of intestinal flora, where the decreased Firmicutes to Bacteroidetes ratio may account for the fish growth suppression. Dual-omics integration revealed regulatory interactions between brain metabolic genes and gut microbiota, corroborating elevated gut lysozyme activity and increased inflammatory markers (TGFβ, IL6). These gut disturbances were linked to head gene dysregulations (muc5.3, or109 and apip). Additional antibiotic metronidazole (MTZ) treatment alleviated PPDs-induced zebrafish behavioral changes and suppressed the gut-brain stress response indicators. Our findings demonstrate that embryonic PPD exposure induces neurotoxicity mediated through gut-brain axis disruption, providing critical insights into the ecological risks of PPD pollutants.","Embryonic p-phenylenediamine (PPD) exposure altered neurotransmitter levels in head tissues and induced intestinal flora disorder, including a decreased Firmicutes to Bacteroidetes ratio. Dual-omics integration revealed regulatory interactions between brain metabolic genes and gut microbiota, corroborating elevated gut lysozyme activity and increased inflammatory markers (TGFβ, IL6). These gut disturbances were linked to head gene dysregulations, suggesting gut-brain axis disruption mediates neurotoxicity.","This study investigated the neurotoxicity of embryonic exposure to PPDs in zebrafish. The experimental model involved exposing zebrafish embryos to sublethal concentrations of three PPDs (CPPD, IPPD, and 77PD). The design also included an additional antibiotic metronidazole (MTZ) treatment to alleviate PPDs-induced effects, demonstrating a focus on gut-brain axis disruption.","Embryonic PPD exposure in zebrafish led to impaired fish growth and distinct behavioral alterations. Specifically, CPPD induced hyperactivity, aggression, and social deficit. IPPD caused hyperactivity and loose shoaling behavior. 77PD resulted in social deficits and reduced social cohesion. These changes were alleviated by antibiotic treatment, suggesting a gut-brain axis disruption."
